,정류소명,Y좌표,X좌표
8001,개봉중학교,37.502295605,126.8431461097
8002,오류중학교,37.5064984287,126.8452626754
8003,오류고등학교.수궁동복지회관,37.4986707024,126.8284021432
8004,진로아파트,37.4898294348,126.8512600952
8005,구로보건소,37.5001038633,126.8890201634
8006,온수역,37.4920372556,126.8238225007
8007,경남1차.중앙하이츠아파트,37.5053633498,126.8630129852
8008,구민체육센터후문,37.5075268453,126.8539611844
8009,현대2차APT,37.4918808558,126.8605440388
8010,개봉3동주민센터,37.4862735028,126.8540082216
8011,건강약국,37.5026653155,126.8447061907
8012,삼원목욕탕,37.5047100465,126.8461848075
8013,거성아파트,37.4894994167,126.8510899904
8014,GS25.한신아파트,37.4957338159,126.8740426758
8015,구로고.구로도서관,37.4985267032,126.8907054138
8016,천왕역1번출구,37.4858051857,126.8390523037
8017,오류동역2번출구,37.493700491,126.8437086852
8018,미래빌라,37.492931809,126.8421365691
8019,우림필유아파트,37.4942450511,126.8471890485
8020,동부에이스,37.4948537163,126.8496238449
8021,개봉푸르지오후문,37.5001701123,126.8491644859
8022,슈퍼앞,37.4880476833,126.8568782172
8023,슈퍼앞,37.4881625105,126.8571980245
8024,쉐라톤서울디큐브시티호텔,37.5084115728,126.8895044358
8025,개봉푸르지오정문,37.5010457523,126.8487500846
8026,개봉1동사거리,37.5013245079,126.8456186056
8027,신도림역.아이파크아파트,37.5108390341,126.8886745429
8028,동아2차아파트상가,37.508664564,126.8864483095
8029,동진빌라.오정초등학교,37.4906689295,126.8253388224
8030,마젤란아파트.예인학원앞,37.5044112672,126.8633574838
8031,개봉한진아파트.기점,37.486149449,126.8520747864
8032,정도주택,37.4941582102,126.851867803
8033,신세기아파트,37.4938432498,126.8532196363
8034,브라운스톤,37.4909356859,126.8530207872
8035,개웅어린이공원,37.4899439502,126.8530208433
8036,거성슈퍼,37.4899694889,126.852516588
8037,대림그린빌라,37.4899567196,126.8519801462
8038,에덴맨션,37.4925552267,126.8515402078
8039,구로보건소.금호새솔아파트,37.5002603987,126.8906780044
8040,구로공구상가,37.5047168446,126.8774140543
8041,한화비즈메트로,37.4805806947,126.8934269571
8042,한국산업기술시험원.디지털탑프라자,37.4816125117,126.8973623264
8043,구로디지털단지우체국,37.4831833011,126.8983627904
8044,JNK디지털타워,37.4821833338,126.8973975647
8045,에이스하이엔드타워2차.G밸리산업박물관,37.4808147297,126.8956407178
8046,만민중앙교회,37.4806231657,126.8944980968
8047,에이스하이엔드타워1차,37.4811169741,126.8930228818
8048,개봉사거리,37.4966014773,126.8565667127
8049,천왕이펜하우스4단지,37.4809999861,126.8385738782
8050,천왕이펜하우스6단지후문,37.4779067636,126.8427844029
8051,천왕이펜하우스6단지후문,37.4782066848,126.8426740981
8052,연지타운2단지,37.4819347512,126.8448667042
8053,연지타운2단지,37.482105537,126.8452304506
8054,남부교도소,37.4764324674,126.840700296
8055,남부교도소,37.4762796029,126.8409403196
8056,삼성부동산.천왕2지구,37.4829640418,126.8423169807
8057,지타워.G밸리산업박물관,37.4804885226,126.8950700963
8058,천왕이펜시아5단지후문,37.4809912928,126.8428197772
8059,작은굴다리,37.5029295159,126.8455290537
8060,개봉1치안센터,37.5032887727,126.8466955709
8061,하이츠.영화.우방.한국현대,37.4966346601,126.8750246315
8062,영림중학교,37.4972904252,126.8917216988
8063,천왕역,37.4870887059,126.8386834453
8064,유한공고.성공회대앞,37.488482,126.824599
8065,우성꿈동산.산업인아파트,37.5035347914,126.8636135714
8066,거성푸르뫼아파트입구,37.5013221734,126.8463908198
8067,삼성그린빌라,37.4904850642,126.8516794789
8068,SK허브수.구로우성APT,37.4956839983,126.8738018673
8069,구로구민회관,37.4961992135,126.8902618432
8070,KEB하나은행,37.4844929907,126.8957736653
8071,동삼빌라,37.4872651448,126.8239106044
8072,천왕이펜하우스5단지,37.4798795808,126.8405011148
8073,천왕이펜하우스3단지,37.4811543339,126.8387635087
8074,천왕이펜하우스2단지,37.4856524684,126.8379747224
8075,구로우체국.이펜하우스3단지후문,37.4817022635,126.8421432373
8076,금강수목원아파트,37.4893049619,126.8343073951
8077,덕성빌라,37.4911148827,126.8516375218
8078,현대상선.구일중학교,37.4953252995,126.8745918696
8079,구로구청,37.4945954699,126.8890701596
8080,오류동교회,37.4969772246,126.8397315321
8081,한일한의원,37.5019399059,126.8644523136
8082,항동하버라인10단지,37.4797915951,126.825852221
8083,큰굴다리,37.4993066553,126.8472760003
8084,한양수자인아파트앞,37.4780584616,126.824920603
8085,항동제일풍경채,37.4758934433,126.8168720063
8086,선경아트빌라,37.4915265978,126.8515665925
8087,구로중학교,37.4932861016,126.8901809694
8088,항동생활체육관,37.4773327456,126.8222790188
8089,경인중학교개봉사거리,37.4973088824,126.8551222377
8090,신도림제일교회(가상),37.5093613303,126.8820464587
8091,디지털단지오거리,37.4800094707,126.8904658759
8092,디지털단지오거리,37.479993,126.89081
8093,디지털1단지,37.483990191,126.8947758913
8094,디지털1단지,37.4837488039,126.8948983529
8095,코오롱싸이언스밸리.베스트웨스턴구로호텔,37.4835182533,126.89918654
8096,베스트웨스턴구로호텔코오롱싸이언스밸리,37.483303,126.8992
8097,유풍약국,37.5012731714,126.8653108421
8098,구민체육관후문,37.5074094044,126.8537204834
8099,개봉교입구,37.4859598389,126.856147179
8100,알뜰슈퍼,37.4995526493,126.848671162
8101,크로바마트,37.4935475792,126.8514133118
8102,동구로새마을금고,37.4913135931,126.8919237085
8103,동부골든아파트후문,37.4997125578,126.8421019365
8104,서울수목원현대홈타운,37.4842376388,126.8212864506
8105,동양미래대학교.구로성심병원,37.500294065,126.8664492745
8106,진성아파트,37.5069198246,126.8549532265
8107,대원카센터,37.4851235277,126.854604124
8108,낙원할인마트,37.4998367818,126.8496002799
8109,개봉사거리,37.4971205133,126.8558271962
8110,구로주공APT,37.4915573877,126.8759201764
8111,구로시장.남구로시장,37.4892915192,126.8909461726
8112,거성푸르뫼아파트,37.5003668962,126.8435607045
8113,푸른수목원후문,37.484834,126.823045
8114,청구아파트.동아한신아파트,37.500508084,126.8644775225
8115,덕의공원,37.5065732115,126.8559436211
8116,한진APT후문,37.4838124632,126.853907849
8117,개봉1동주민센터,37.5003180166,126.8510594597
8118,롯데시티호텔구로,37.485089,126.897994
8119,롯데시티호텔구로,37.485405,126.897008
8120,알뜰슈퍼,37.5083877831,126.8799022166
8121,성락교회크리스천선교센터,37.509412,126.882139
8122,이마트,37.4914756061,126.8540342851
8123,푸른수목원정문.건널목앞,37.4817402116,126.8231297932
8124,푸른수목원정문.건널목앞,37.4817592785,126.8232258611
8125,슈퍼앞,37.4792083461,126.8244982546
8126,슈퍼앞,37.4792481742,126.8246191464
8127,농심앞,37.4779629447,126.8244480253
8128,농심앞,37.4779685427,126.8245769098
8129,구일우성아파트,37.4898288863,126.8757443597
8130,구로3동주민센터.삼성래미안아파트,37.4875023101,126.8903867532
8131,신학연구원,37.5010678452,126.8455328891
8132,신도림역,37.508551,126.887724
8133,구로역교차로,37.5032947809,126.8799239482
8134,고척1동주민센터.한효아파트,37.5008337327,126.8624422171
8135,금강수목원아파트,37.4896097485,126.8345136816
8136,항동하버라인4단지,37.4817035884,126.8254089116
8137,고척2동주민센터.고척지구대,37.5064024799,126.8585760434
8138,별장쉐르빌앞,37.4873385628,126.8337972044
8139,미래여성병원,37.4915137436,126.8399218495
8140,덕일전자공업고등학교,37.4898924794,126.8371767877
8141,개명초교,37.482280857,126.852674925
8142,항동하버라인4단지.푸른수목원,37.4828805399,126.825988864
8143,항동하버라인3단지아파트,37.4794501086,126.8253787368
8144,현대로얄APT.한일유엔아이,37.4862739602,126.876536159
8145,세븐일레븐,37.5092442733,126.8785740011
8146,하나마트,37.5104365661,126.8795878618
8147,진흥슈퍼,37.5114475988,126.8804730881
8148,신도림자동차학원,37.512327,126.881548
8149,우성아파트,37.5114571213,126.8855385287
8150,신도림역,37.5106918149,126.8899942669
8151,신도림역,37.5106671338,126.8896176218
8152,도림천역2번출구,37.5145732142,126.883116065
8153,구로3파출소,37.4861491173,126.8916518401
8154,미성아파트,37.5060440628,126.8764493134
8155,동삼빌라,37.4871985611,126.8239763483
8156,천왕이펜하우스3단지입구,37.482418,126.838209
8157,신도림동아3차아파트,37.5101740596,126.8838007521
8158,외환은행,37.5024184635,126.8886683737
8159,우신중고등학교후문,37.4955502458,126.8253681686
8160,구로보건소,37.5003597239,126.8889643647
8161,서울가든아파트,37.5011612274,126.8604736214
8162,구로역(NC백화점),37.4996998999,126.8831338556
8163,구로역(NC백화점),37.5004801132,126.8829912618
8164,구로구청,37.4957878963,126.8903214893
8165,구로구청,37.4958700328,126.8885412507
8166,오류동입구,37.500482,126.846946
8167,오류동입구,37.502179,126.846424
8168,개봉역입구,37.491225,126.855844
8169,개봉역입구,37.4910330573,126.8561510204
8170,개봉교,37.4876466919,126.8561360285
8171,개봉교,37.4865803318,126.8565858749
8172,대림역,37.4933532412,126.894415566
8173,고척사거리.고척파크프리지오,37.50682458,126.8596543326
8174,대상APT,37.4819053285,126.8499946754
8175,구로시장.남구로시장입구,37.4901745492,126.8815338211
8176,에이스테크노타워,37.4849562689,126.8941436618
8177,구로공구상가,37.5033556976,126.8795720894
8178,보성운수기종점,37.490156,126.892827
8179,새마을금고사거리,37.5015032543,126.8586282642
8180,양우아파트,37.5048176486,126.8557648896
8181,영화APT,37.4822720576,126.8485658093
8182,천왕역,37.4862992199,126.8386352471
8183,대우자동차정비소,37.4915421241,126.8821344238
8184,고척초등학교,37.499467,126.85815
8185,경남아파트,37.5038117109,126.8562509235
8186,남부주유소,37.481867368,126.8463989967
8187,신도림역2번출구,37.5076542306,126.8919759396
8188,구로고대병원후문,37.4934775322,126.8856372215
8189,구로3동현대아파트,37.4868817485,126.8977560605
8190,공구상가,37.498624,126.860118
8191,대우아파트,37.5023525197,126.855998104
8192,오남중학교.삼미주택,37.4883372957,126.8369839639
8193,123전자타운.2001아울렛,37.497292563,126.861808582
8194,성화단지앞,37.5005796345,126.855655416
8195,개봉3동한솔정형외과,37.4868196071,126.8562416496
8196,구로디지털단지입구,37.4829265654,126.9006494039
8197,남부교회,37.4886180865,126.8380372984
8198,삼환로즈빌아파트,37.4986550696,126.8565503437
8199,문성골,37.4814923556,126.8999954764
8200,오류2동주민센터.오류남초교,37.4888927848,126.8392557575
8201,에이스테크노타워,37.4852697727,126.8937835226
8202,새마을금고.경남아너스빌아파트,37.4894911434,126.8392748307
8203,구로3파출소,37.4861834877,126.8917920104
8204,송기산내과의원.기업은행365코너,37.4911260724,126.8416717083
8205,구로3동주민센터.삼성래미안아파트,37.4873871314,126.8905621992
8206,남부종합상가,37.4918773206,126.8426212103
8207,구로시장.남구로시장,37.4891691976,126.8911940068
8208,구로구청후문,37.4959829917,126.8879281059
8209,동구로새마을금고,37.4914076166,126.8922617076
8210,구로중학교,37.4931038754,126.8907155784
8211,구로구청,37.4947318776,126.8894341189
8212,강서수도사업소.민원센터,37.4960920442,126.8908356291
8213,영림중학교,37.4976174721,126.8916635467
8214,구로고.구로도서관,37.4986205714,126.890871533
8215,구로보건소,37.5002225139,126.8887066959
8216,항아리,37.4988532421,126.8862917876
8217,구로공구상가,37.5036076778,126.8792504612
8218,미성아파트,37.5058198494,126.8774688058
8219,대림1.2차아파트,37.5063468892,126.8782393614
8220,대림5차아파트702동,37.5074731027,126.8798403389
8221,대림5차아파트.신도림주민센터,37.5073421413,126.8813245848
8222,대림6차태영프라자,37.5062202183,126.8830795784
8223,신도림역,37.5106647809,126.8899931754
8224,현대우성아파트,37.5117462798,126.8854408047
8225,동아1차아파트102동,37.510818,126.884131
8226,동아1차아파트105동,37.5100023717,126.8824062916
8227,개봉현대1.2차.아이파크아파트,37.4925528502,126.8603505361
8228,1호선구일역,37.4952173233,126.8722148101
8229,금강수목원아파트정문,37.4892057882,126.832990173
8230,고척근린시장,37.5009847732,126.8510128941
8231,구로시장.남구로시장입구,37.4907661875,126.8838670127
8232,구로주공.구일우성APT,37.4913781266,126.8759758863
8233,구로1동주민센터.연예인APT,37.4929561503,126.8761587458
8234,천왕이펜하우스5단지입구,37.4794432441,126.8421807801
8235,구일고교.구일초등학교,37.4930430005,126.8750332332
8236,구로1동주민센터.연예인APT,37.4930315699,126.8758985122
8237,구로고교.아트벨리.등기소.보건소,37.4965858218,126.8917860501
8238,구로디지털단지역,37.484614121,126.9014703788
8239,국민은행.개봉전화국,37.4868830375,126.8565321478
8240,구일초등학교.구일고등학교,37.4934617905,126.8743854109
8241,개봉역,37.4952658606,126.858658118
8242,개봉역,37.4950163829,126.8587648964
8243,KEB하나은행,37.4849571278,126.8958510449
8244,천왕이펜하우스3단지입구,37.4827673034,126.8384903583
8245,1호선구로역.AK플라자,37.5006275942,126.8826890484
8246,머리이야기,37.4936575464,126.8507243648
8247,천왕역2번출구,37.4865099243,126.8384206704
8248,천왕이펜하우스1단지,37.4856296135,126.8377361736
8249,천왕이펜하우스4단지,37.4810197346,126.83851843
8250,천왕이펜하우스6단지,37.4793763374,126.8406703019
8251,천왕이펜하우스5단지,37.479894,126.840309
8252,천왕이펜하우스3.4단지,37.481169506,126.8386560567
8253,천왕이펜하우스2단지,37.4856055755,126.8379488154
8254,온수남부역,37.4918431942,126.8242097211
8255,온수남부,37.4919749011,126.8243078
8256,온수남부역,37.4920297733,126.8230365475
8257,온수남부역,37.4918784191,126.8230572606
8258,개봉역,37.4932151121,126.8587931686
8259,개봉역,37.4933405542,126.8589512603
8260,방앗간(가상),37.5088124401,126.8792522578
8261,구로역.구로공구상가,37.5018409806,126.8778508145
8262,궁동사거리,37.5060968631,126.8279100818
8263,구로역.구로공구상가,37.5015394005,126.878130672
8264,유한공고.성공회대학교,37.4895452697,126.8247409544
8265,문성초등학교,37.475363705,126.8986660928
8266,문성초등학교,37.474034,126.89833
8267,금천우체국,37.4691356565,126.8980832235
8268,금천우체국,37.470136,126.898003
8269,말미고개.금천소방서,37.463604,126.897555
8270,말미고개.금천소방서,37.46473,126.897285
8271,금천구청.금천경찰서,37.4592088301,126.8988721519
8272,금천구청.금천경찰서,37.457727,126.899097
8273,시흥사거리,37.4525166369,126.9014119022
8274,시흥사거리,37.4529209731,126.9010982769
8275,박미삼거리.국립전통예술중고,37.4478432162,126.9032727409
8276,박미삼거리.국립전통예술중고,37.449067,126.902663
8277,시흥유통센터,37.44019,126.903622
8278,시흥유통센터,37.440958,126.903369
8279,한일유엔아이아파트,37.4854590227,126.8762259351
8280,디지털3단지.롯데정보통신,37.4850665262,126.8765799852
8281,에이스하이엔드타워5차,37.4855455489,126.8793920331
8282,디지털3단지.영창실업,37.4831487229,126.8789486902
8283,디지털3단지운동장,37.4821627292,126.8778930341
8284,가산디지털단지역,37.4811017759,126.8810811558
8285,가산디지털단지역,37.4808039116,126.8814807737
8286,디지털3단지.월드벤처센터,37.4789742711,126.8793082021
8287,디지털3단지.(주)로옴코리아,37.479611,126.88022
8288,디지털3단지사거리,37.4766714335,126.880577117
8289,디지털3단지사거리,37.4758449905,126.880449538
8290,디지털3단지사거리,37.4757765035,126.8813405986
8291,금천패션아울렛사거리.마리오,37.478263,126.888333
8292,금천패션아울렛사거리.W몰,37.4776616914,126.8878763257
